m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,6059319.45,2134976.02,0.7889,0.4667,3
10,8644982.11,2396267.78,31.3889,12.6778,3
20,10068313.71,2369853.69,274.2444,107.6111,3
30,10448936.92,2194050.22,179.8000,68.0444,3
40,11176088.72,2059933.21,268.1000,96.8556,3
50,11471219.20,1961646.03,287.1000,101.6667,3
60,11678881.21,1794393.64,138.8333,46.1000,3
70,12205756.87,1743442.32,335.7333,112.7222,3
80,12476525.79,1650277.76,305.8333,103.1444,3
90,12676300.63,1561745.99,256.9889,81.9222,3
100,12891951.19,1496379.11,214.8556,69.2556,3
