=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [6/1638] t=8 m=50 w=0 | elapsed=30s eta=48960s
  [7/1638] t=8 m=60 w=0 | elapsed=60s eta=48930s
  [8/1638] t=8 m=70 w=0 | elapsed=90s eta=48900s
  [9/1638] t=8 m=80 w=0 | elapsed=120s eta=48870s
  [10/1638] t=8 m=90 w=0 | elapsed=150s eta=48840s
  [11/1638] t=8 m=100 w=0 | elapsed=181s eta=49081s
  [12/1638] t=8 m=150 w=0 | elapsed=211s eta=49012s
  [13/1638] t=8 m=200 w=0 | elapsed=241s eta=48953s
  [14/1638] t=8 m=250 w=0 | elapsed=271s eta=48900s
  [15/1638] t=8 m=300 w=0 | elapsed=301s eta=48852s
  [16/1638] t=8 m=400 w=0 | elapsed=331s eta=48807s
  [17/1638] t=8 m=500 w=0 | elapsed=361s eta=48765s
  [18/1638] t=8 m=700 w=0 | elapsed=391s eta=48724s
  [19/1638] t=8 m=1000 w=0 | elapsed=421s eta=48685s
  [20/1638] t=8 m=2000 w=0 | elapsed=451s eta=48647s
  [21/1638] t=8 m=3000 w=0 | elapsed=482s eta=48712s
  [22/1638] t=8 m=5000 w=0 | elapsed=512s eta=48670s
  [23/1638] t=8 m=7000 w=0 | elapsed=542s eta=48629s
  [24/1638] t=8 m=10000 w=0 | elapsed=572s eta=48589s
  [25/1638] t=8 m=20000 w=0 | elapsed=602s eta=48551s
  [26/1638] t=8 m=50000 w=0 | elapsed=632s eta=48513s
  [27/1638] t=16 m=0 w=0 | elapsed=662s eta=48476s
  [28/1638] t=16 m=10 w=0 | elapsed=692s eta=48440s
  [29/1638] t=16 m=20 w=0 | elapsed=722s eta=48404s
  [30/1638] t=16 m=30 w=0 | elapsed=753s eta=48432s
  [31/1638] t=16 m=40 w=0 | elapsed=783s eta=48395s
  [32/1638] t=16 m=50 w=0 | elapsed=813s eta=48358s
  [33/1638] t=16 m=60 w=0 | elapsed=843s eta=48321s
  [34/1638] t=16 m=70 w=0 | elapsed=873s eta=48285s
  [35/1638] t=16 m=80 w=0 | elapsed=903s eta=48250s
  [36/1638] t=16 m=90 w=0 | elapsed=933s eta=48215s
  [37/1638] t=16 m=100 w=0 | elapsed=963s eta=48180s
  [38/1638] t=16 m=150 w=0 | elapsed=993s eta=48145s
  [39/1638] t=16 m=200 w=0 | elapsed=1023s eta=48111s
  [40/1638] t=16 m=250 w=0 | elapsed=1054s eta=48122s
  [41/1638] t=16 m=300 w=0 | elapsed=1084s eta=48087s
  [42/1638] t=16 m=400 w=0 | elapsed=1114s eta=48052s
  [43/1638] t=16 m=500 w=0 | elapsed=1144s eta=48017s
  [44/1638] t=16 m=700 w=0 | elapsed=1174s eta=47983s
  [45/1638] t=16 m=1000 w=0 | elapsed=1204s eta=47949s
  [46/1638] t=16 m=2000 w=0 | elapsed=1234s eta=47915s
  [47/1638] t=16 m=3000 w=0 | elapsed=1264s eta=47881s
  [48/1638] t=16 m=5000 w=0 | elapsed=1294s eta=47847s
  [49/1638] t=16 m=7000 w=0 | elapsed=1325s eta=47850s
  [50/1638] t=16 m=10000 w=0 | elapsed=1355s eta=47816s
  [51/1638] t=16 m=20000 w=0 | elapsed=1385s eta=47782s
  [52/1638] t=16 m=50000 w=0 | elapsed=1415s eta=47748s
  [53/1638] t=32 m=0 w=0 | elapsed=1445s eta=47715s
  [54/1638] t=32 m=10 w=0 | elapsed=1475s eta=47681s
  [55/1638] t=32 m=20 w=0 | elapsed=1505s eta=47648s
  [56/1638] t=32 m=30 w=0 | elapsed=1535s eta=47615s
  [57/1638] t=32 m=40 w=0 | elapsed=1565s eta=47582s
  [58/1638] t=32 m=50 w=0 | elapsed=1596s eta=47578s
  [59/1638] t=32 m=60 w=0 | elapsed=1626s eta=47545s
  [60/1638] t=32 m=70 w=0 | elapsed=1656s eta=47512s
  [61/1638] t=32 m=80 w=0 | elapsed=1686s eta=47478s
  [62/1638] t=32 m=90 w=0 | elapsed=1716s eta=47445s
  [63/1638] t=32 m=100 w=0 | elapsed=1746s eta=47412s
  [64/1638] t=32 m=150 w=0 | elapsed=1776s eta=47380s
  [65/1638] t=32 m=200 w=0 | elapsed=1806s eta=47347s
  [66/1638] t=32 m=250 w=0 | elapsed=1836s eta=47314s
  [67/1638] t=32 m=300 w=0 | elapsed=1867s eta=47307s
  [68/1638] t=32 m=400 w=0 | elapsed=1897s eta=47274s
  [69/1638] t=32 m=500 w=0 | elapsed=1927s eta=47241s
  [70/1638] t=32 m=700 w=0 | elapsed=1957s eta=47208s
  [71/1638] t=32 m=1000 w=0 | elapsed=1987s eta=47176s
  [72/1638] t=32 m=2000 w=0 | elapsed=2017s eta=47143s
  [73/1638] t=32 m=3000 w=0 | elapsed=2047s eta=47111s
