m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,5953550.79,2350095.11,2.2111,1.1111,3
10,7012639.62,2240505.08,5.2889,1.9333,3
20,8184345.23,2277212.40,74.4556,26.6222,3
30,8913073.99,2241580.08,229.3222,80.6222,3
40,8675436.37,2207367.96,105.6000,36.6333,3
50,8704625.67,2173235.73,97.4333,32.5444,3
60,8595715.30,2106281.46,182.8556,61.0778,3
70,9065959.25,2103627.16,181.6667,60.1333,3
80,8954290.43,2065119.26,155.2333,51.1444,3
90,9120769.59,2018028.57,174.7333,57.2556,3
100,9032118.43,1973003.08,158.1556,51.2667,3
