=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] t=8 m=0 w=0 | elapsed=30s eta=49110s
  [2/1638] t=8 m=10 w=0 | elapsed=60s eta=49080s
  [3/1638] t=8 m=20 w=0 | elapsed=90s eta=49050s
  [4/1638] t=8 m=30 w=0 | elapsed=120s eta=49020s
  [5/1638] t=8 m=40 w=0 | elapsed=150s eta=48990s
  [6/1638] t=8 m=50 w=0 | elapsed=180s eta=48960s
  [7/1638] t=8 m=60 w=0 | elapsed=210s eta=48930s
  [8/1638] t=8 m=70 w=0 | elapsed=240s eta=48900s
  [9/1638] t=8 m=80 w=0 | elapsed=271s eta=49051s
  [10/1638] t=8 m=90 w=0 | elapsed=301s eta=49002s
  [11/1638] t=8 m=100 w=0 | elapsed=331s eta=48957s
  [12/1638] t=8 m=150 w=0 | elapsed=361s eta=48915s
  [13/1638] t=8 m=200 w=0 | elapsed=391s eta=48875s
  [14/1638] t=8 m=250 w=0 | elapsed=421s eta=48836s
  [15/1638] t=8 m=300 w=0 | elapsed=451s eta=48798s
  [16/1638] t=8 m=400 w=0 | elapsed=481s eta=48761s
  [17/1638] t=8 m=500 w=0 | elapsed=511s eta=48725s
  [18/1638] t=8 m=700 w=0 | elapsed=542s eta=48780s
  [19/1638] t=8 m=1000 w=0 | elapsed=572s eta=48740s
  [20/1638] t=8 m=2000 w=0 | elapsed=602s eta=48701s
  [21/1638] t=8 m=3000 w=0 | elapsed=632s eta=48664s
  [22/1638] t=8 m=5000 w=0 | elapsed=662s eta=48626s
  [23/1638] t=8 m=7000 w=0 | elapsed=692s eta=48590s
  [24/1638] t=8 m=10000 w=0 | elapsed=722s eta=48554s
  [25/1638] t=8 m=20000 w=0 | elapsed=752s eta=48519s
  [26/1638] t=8 m=50000 w=0 | elapsed=782s eta=48484s
  [27/1638] t=16 m=0 w=0 | elapsed=813s eta=48509s
  [28/1638] t=16 m=10 w=0 | elapsed=843s eta=48472s
  [29/1638] t=16 m=20 w=0 | elapsed=873s eta=48436s
  [30/1638] t=16 m=30 w=0 | elapsed=903s eta=48400s
  [31/1638] t=16 m=40 w=0 | elapsed=933s eta=48365s
  [32/1638] t=16 m=50 w=0 | elapsed=963s eta=48330s
  [33/1638] t=16 m=60 w=0 | elapsed=993s eta=48295s
  [34/1638] t=16 m=70 w=0 | elapsed=1023s eta=48261s
  [35/1638] t=16 m=80 w=0 | elapsed=1053s eta=48227s
  [36/1638] t=16 m=90 w=0 | elapsed=1083s eta=48193s
  [37/1638] t=16 m=100 w=0 | elapsed=1114s eta=48203s
  [38/1638] t=16 m=150 w=0 | elapsed=1144s eta=48168s
  [39/1638] t=16 m=200 w=0 | elapsed=1174s eta=48134s
  [40/1638] t=16 m=250 w=0 | elapsed=1204s eta=48099s
  [41/1638] t=16 m=300 w=0 | elapsed=1234s eta=48065s
  [42/1638] t=16 m=400 w=0 | elapsed=1264s eta=48032s
  [43/1638] t=16 m=500 w=0 | elapsed=1294s eta=47998s
  [44/1638] t=16 m=700 w=0 | elapsed=1324s eta=47964s
  [45/1638] t=16 m=1000 w=0 | elapsed=1354s eta=47931s
  [46/1638] t=16 m=2000 w=0 | elapsed=1385s eta=47933s
  [47/1638] t=16 m=3000 w=0 | elapsed=1415s eta=47899s
  [48/1638] t=16 m=5000 w=0 | elapsed=1445s eta=47865s
  [49/1638] t=16 m=7000 w=0 | elapsed=1475s eta=47832s
  [50/1638] t=16 m=10000 w=0 | elapsed=1505s eta=47798s
  [51/1638] t=16 m=20000 w=0 | elapsed=1535s eta=47765s
  [52/1638] t=16 m=50000 w=0 | elapsed=1565s eta=47732s
  [53/1638] t=32 m=0 w=0 | elapsed=1595s eta=47699s
  [54/1638] t=32 m=10 w=0 | elapsed=1625s eta=47666s
  [55/1638] t=32 m=20 w=0 | elapsed=1656s eta=47662s
  [56/1638] t=32 m=30 w=0 | elapsed=1686s eta=47629s
  [57/1638] t=32 m=40 w=0 | elapsed=1716s eta=47596s
  [58/1638] t=32 m=50 w=0 | elapsed=1746s eta=47563s
