=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Following CPUs are offline:
8-15
cpupower set operation was not performed on them
  governor: performance
  WARNING: could not disable turbo/boost

=== Experiment (Server: skylake_ann) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] t=8 m=0 w=0 | elapsed=31s eta=50747s
  [2/1638] t=8 m=10 w=0 | elapsed=61s eta=49898s
  [3/1638] t=8 m=20 w=0 | elapsed=91s eta=49595s
  [4/1638] t=8 m=30 w=0 | elapsed=121s eta=49428s
  [5/1638] t=8 m=40 w=0 | elapsed=151s eta=49316s
  [6/1638] t=8 m=50 w=0 | elapsed=181s eta=49232s
  [7/1638] t=8 m=60 w=0 | elapsed=211s eta=49163s
  [8/1638] t=8 m=70 w=0 | elapsed=241s eta=49103s
  [9/1638] t=8 m=80 w=0 | elapsed=271s eta=49051s
  [10/1638] t=8 m=90 w=0 | elapsed=302s eta=49165s
  [11/1638] t=8 m=100 w=0 | elapsed=332s eta=49105s
  [12/1638] t=8 m=150 w=0 | elapsed=362s eta=49051s
  [13/1638] t=8 m=200 w=0 | elapsed=392s eta=49000s
  [14/1638] t=8 m=250 w=0 | elapsed=422s eta=48952s
  [15/1638] t=8 m=300 w=0 | elapsed=452s eta=48906s
  [16/1638] t=8 m=400 w=0 | elapsed=482s eta=48862s
  [17/1638] t=8 m=500 w=0 | elapsed=512s eta=48820s
  [18/1638] t=8 m=700 w=0 | elapsed=542s eta=48780s
  [19/1638] t=8 m=1000 w=0 | elapsed=573s eta=48825s
  [20/1638] t=8 m=2000 w=0 | elapsed=603s eta=48782s
  [21/1638] t=8 m=3000 w=0 | elapsed=633s eta=48741s
  [22/1638] t=8 m=5000 w=0 | elapsed=663s eta=48700s
  [23/1638] t=8 m=7000 w=0 | elapsed=693s eta=48660s
  [24/1638] t=8 m=10000 w=0 | elapsed=723s eta=48621s
  [25/1638] t=8 m=20000 w=0 | elapsed=753s eta=48583s
  [26/1638] t=8 m=50000 w=0 | elapsed=783s eta=48546s
  [27/1638] t=16 m=0 w=0 | elapsed=813s eta=48509s
  [28/1638] t=16 m=10 w=0 | elapsed=844s eta=48530s
  [29/1638] t=16 m=20 w=0 | elapsed=874s eta=48491s
  [30/1638] t=16 m=30 w=0 | elapsed=904s eta=48454s
  [31/1638] t=16 m=40 w=0 | elapsed=934s eta=48417s
  [32/1638] t=16 m=50 w=0 | elapsed=964s eta=48380s
  [33/1638] t=16 m=60 w=0 | elapsed=994s eta=48344s
