m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1419263.31,3134231.22,51916.3111,40854.9222,3
10,1519113.32,1694961.47,26907.5556,21625.4889,3
20,1556018.39,1415951.20,22999.8889,18251.4556,3
30,1595861.17,1149411.32,19431.4111,15382.8667,3
40,1633615.41,938827.84,16201.2667,12883.2667,3
50,1663103.42,783357.96,13748.2778,10965.1778,3
60,1683098.26,668197.26,11896.3111,9577.1778,3
70,1696295.59,581673.99,10677.7667,8623.6222,3
80,1712194.03,514392.37,9772.1444,7901.0444,3
90,1722605.84,460874.20,8531.1000,6944.7778,3
100,1729981.51,416978.67,7943.2889,6499.8778,3
