=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: skylake_c220g5) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] t=8 m=10 w=0 | elapsed=30s eta=49080s
  [3/1638] t=8 m=20 w=0 | elapsed=60s eta=49050s
  [4/1638] t=8 m=30 w=0 | elapsed=90s eta=49020s
  [5/1638] t=8 m=40 w=0 | elapsed=120s eta=48990s
  [6/1638] t=8 m=50 w=0 | elapsed=151s eta=49286s
  [7/1638] t=8 m=60 w=0 | elapsed=181s eta=49201s
  [8/1638] t=8 m=70 w=0 | elapsed=211s eta=49132s
  [9/1638] t=8 m=80 w=0 | elapsed=241s eta=49073s
  [10/1638] t=8 m=90 w=0 | elapsed=271s eta=49020s
  [11/1638] t=8 m=100 w=0 | elapsed=301s eta=48972s
  [12/1638] t=8 m=150 w=0 | elapsed=331s eta=48927s
  [13/1638] t=8 m=200 w=0 | elapsed=361s eta=48885s
  [14/1638] t=8 m=250 w=0 | elapsed=391s eta=48844s
  [15/1638] t=8 m=300 w=0 | elapsed=422s eta=48921s
  [16/1638] t=8 m=400 w=0 | elapsed=452s eta=48876s
  [17/1638] t=8 m=500 w=0 | elapsed=482s eta=48832s
  [18/1638] t=8 m=700 w=0 | elapsed=512s eta=48790s
  [19/1638] t=8 m=1000 w=0 | elapsed=542s eta=48749s
  [20/1638] t=8 m=2000 w=0 | elapsed=572s eta=48710s
  [21/1638] t=8 m=3000 w=0 | elapsed=602s eta=48671s
  [22/1638] t=8 m=5000 w=0 | elapsed=632s eta=48633s
  [23/1638] t=8 m=7000 w=0 | elapsed=662s eta=48596s
  [24/1638] t=8 m=10000 w=0 | elapsed=693s eta=48630s
  [25/1638] t=8 m=20000 w=0 | elapsed=723s eta=48591s
  [26/1638] t=8 m=50000 w=0 | elapsed=753s eta=48553s
  [27/1638] t=16 m=0 w=0 | elapsed=783s eta=48515s
  [28/1638] t=16 m=10 w=0 | elapsed=813s eta=48478s
  [29/1638] t=16 m=20 w=0 | elapsed=843s eta=48442s
  [30/1638] t=16 m=30 w=0 | elapsed=873s eta=48406s
  [31/1638] t=16 m=40 w=0 | elapsed=903s eta=48370s
  [32/1638] t=16 m=50 w=0 | elapsed=933s eta=48335s
  [33/1638] t=16 m=60 w=0 | elapsed=964s eta=48350s
  [34/1638] t=16 m=70 w=0 | elapsed=994s eta=48314s
  [35/1638] t=16 m=80 w=0 | elapsed=1024s eta=48278s
  [36/1638] t=16 m=90 w=0 | elapsed=1054s eta=48243s
  [37/1638] t=16 m=100 w=0 | elapsed=1084s eta=48207s
  [38/1638] t=16 m=150 w=0 | elapsed=1114s eta=48172s
  [39/1638] t=16 m=200 w=0 | elapsed=1144s eta=48138s
  [40/1638] t=16 m=250 w=0 | elapsed=1174s eta=48103s
  [41/1638] t=16 m=300 w=0 | elapsed=1204s eta=48069s
  [42/1638] t=16 m=400 w=0 | elapsed=1235s eta=48074s
  [43/1638] t=16 m=500 w=0 | elapsed=1265s eta=48039s
  [44/1638] t=16 m=700 w=0 | elapsed=1295s eta=48005s
  [45/1638] t=16 m=1000 w=0 | elapsed=1325s eta=47971s
  [46/1638] t=16 m=2000 w=0 | elapsed=1355s eta=47936s
  [47/1638] t=16 m=3000 w=0 | elapsed=1385s eta=47902s
  [48/1638] t=16 m=5000 w=0 | elapsed=1415s eta=47869s
  [49/1638] t=16 m=7000 w=0 | elapsed=1445s eta=47835s
  [50/1638] t=16 m=10000 w=0 | elapsed=1475s eta=47802s
  [51/1638] t=16 m=20000 w=0 | elapsed=1506s eta=47800s
  [52/1638] t=16 m=50000 w=0 | elapsed=1536s eta=47766s
  [53/1638] t=32 m=0 w=0 | elapsed=1566s eta=47732s
  [54/1638] t=32 m=10 w=0 | elapsed=1596s eta=47699s
  [55/1638] t=32 m=20 w=0 | elapsed=1626s eta=47665s
  [56/1638] t=32 m=30 w=0 | elapsed=1656s eta=47632s
  [57/1638] t=32 m=40 w=0 | elapsed=1686s eta=47599s
  [58/1638] t=32 m=50 w=0 | elapsed=1716s eta=47566s
  [59/1638] t=32 m=60 w=0 | elapsed=1746s eta=47533s
  [60/1638] t=32 m=70 w=0 | elapsed=1777s eta=47527s
  [61/1638] t=32 m=80 w=0 | elapsed=1807s eta=47493s
  [62/1638] t=32 m=90 w=0 | elapsed=1837s eta=47460s
  [63/1638] t=32 m=100 w=0 | elapsed=1867s eta=47427s
  [64/1638] t=32 m=150 w=0 | elapsed=1897s eta=47394s
  [65/1638] t=32 m=200 w=0 | elapsed=1927s eta=47362s
  [66/1638] t=32 m=250 w=0 | elapsed=1957s eta=47329s
  [67/1638] t=32 m=300 w=0 | elapsed=1987s eta=47296s
  [68/1638] t=32 m=400 w=0 | elapsed=2018s eta=47287s
  [69/1638] t=32 m=500 w=0 | elapsed=2048s eta=47254s
  [70/1638] t=32 m=700 w=0 | elapsed=2078s eta=47221s
  [71/1638] t=32 m=1000 w=0 | elapsed=2108s eta=47189s
  [72/1638] t=32 m=2000 w=0 | elapsed=2138s eta=47156s
  [73/1638] t=32 m=3000 w=0 | elapsed=2168s eta=47123s
  [74/1638] t=32 m=5000 w=0 | elapsed=2198s eta=47091s
  [75/1638] t=32 m=7000 w=0 | elapsed=2228s eta=47058s
  [76/1638] t=32 m=10000 w=0 | elapsed=2259s eta=47047s
  [77/1638] t=32 m=20000 w=0 | elapsed=2289s eta=47014s
  [78/1638] t=32 m=50000 w=0 | elapsed=2319s eta=46982s
--- w=0ns, rep=2/3 ---
  [79/1638] t=8 m=0 w=0 | elapsed=2349s eta=46949s
  [80/1638] t=8 m=10 w=0 | elapsed=2379s eta=46917s
  [81/1638] t=8 m=20 w=0 | elapsed=2409s eta=46885s
  [82/1638] t=8 m=30 w=0 | elapsed=2439s eta=46852s
  [83/1638] t=8 m=40 w=0 | elapsed=2469s eta=46820s
  [84/1638] t=8 m=50 w=0 | elapsed=2499s eta=46788s
  [85/1638] t=8 m=60 w=0 | elapsed=2530s eta=46774s
  [86/1638] t=8 m=70 w=0 | elapsed=2560s eta=46742s
  [87/1638] t=8 m=80 w=0 | elapsed=2590s eta=46710s
  [88/1638] t=8 m=90 w=0 | elapsed=2620s eta=46678s
